,R2,RMSE,MAE,BestParams
Ridge,0.6171934321183732,405.21990319941995,289.46380943350965,{'model__alpha': 1}
Lasso,0.5978206203565584,415.3469045871077,297.46633464593424,{'model__alpha': 1}
LinearRegression,0.5872253465142052,420.7824219345578,302.18461262430645,
RandomForestRegressor,0.6400758286355943,392.92221624637466,286.1542114936908,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}"
